EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
46 BERKELEY SQUARE  LTD,"26-28, Conway Street,
London,
England,
W1T 6BQ",9497091,94990,3.1,2.1,NA,NA,0,0,71,29,66,34,74,26,78,22,,Joanne Bolding (HR Manager),250 to 499,46 BERKELEY SQUARE  LTD,FALSE
5 HERTFORD STREET LIMITED,"10 Norwich Street,
London,
EC4A 1BD",6913368,82990,-7.1,-14.2,15.8,-13.2,85,85,72,28,66,34,78,22,94,6,https://www.5hertfordstreet.com/home,Catherine Bristow (Human Resources Director),250 to 499,5 HERTFORD STREET LIMITED,FALSE
6Cats UK Ltd.,"1st Floor 1-3 Sun Street,
London,
England,
EC2A 2EP",7284675,70229,15,6,NA,NA,0,0,48,52,56,44,58,42,58,42,,Kirsty Henning (Finance Director),250 to 499,6Cats UK Ltd.,FALSE
A & L RESTAURANTS LIMITED,"THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD",4437266,56290,9.3,1,-44.3,88.9,2.6,3.6,29.8,70.2,34.8,65.2,45.1,54.9,54.6,45.4,,Amir Atefi (Director),500 to 999,A & L RESTAURANTS LIMITED,FALSE
A F A RESTAURANTS LIMITED,"THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD",8345484,47290,1.7,0.2,12.8,8.2,6,5.7,61.3,38.7,49.3,50.7,50.7,49.3,62,38,,Ahmet Mustafa (Director),500 to 999,A F A RESTAURANTS LIMITED,FALSE
A24 GROUP LIMITED,"92-96 Lind Road,
Sutton,
Surrey,
United Kingdom,
SM1 4PL",3262419,78200,-17.5,-11.4,-21.6,-34.1,2.2,2.6,38,62,42.4,57.6,27.2,72.8,17.4,82.6,,Charles Rees (Finance Director),500 to 999,A24 GROUP LIMITED,FALSE
A2DOMINION HOUSING GROUP LIMITED,"The Point,
37 North Wharf Road,
London,
United Kingdom,
W2 1BD",IP28985R,,24.5,20.9,46.8,0,72.1,73.3,27.7,72.3,27.7,72.3,42.7,57.3,54.5,45.5,https://www.a2dominiongroup.co.uk/content/doclib/60.pdf,Darrell Mercer (Group Chief Executive),500 to 999,A2DOMINION HOUSING GROUP LIMITED,FALSE
A3D2 LIMITED,"NOVUS LEISURE LIMITED,
Third Floor, Clareville House,
26-27 Oxendon Street,
London,
United Kingdom,
SW1Y 4EL",3506401,56301,-6,-3,-13,-139,24,31,63,37,63,37,63,37,63,37,https://www.novusbars.com/,Sharon Badelek (CEO),500 to 999,A3D2 LIMITED,FALSE
AB AGRI LIMITED,"Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY",193800,10910,9.3,-7.4,72,13.9,35.4,37.7,62.1,37.9,83.3,16.7,62.9,37.1,73.2,26.8,https://www.abagri.com/ABAgriCorporate/files/45/45d18842-167f-4248-aaca-0e422e5259f8.pdf,Jose Nobre (Chief Executive),1000 to 4999,AB AGRI LIMITED,FALSE
AB INBEV UK LIMITED,"Bureau,
90 Fetter Lane,
London,
England,
EC4A 1EN",3982132,11050,-31,-39,-49,-160,60,64,87,13,92,8,75,25,66,34,https://ab-inbev.co.uk/about/our-promise/policies/,Claire Richardson (People Director),1000 to 4999,AB INBEV UK LIMITED,FALSE
AB WORLD FOODS LIMITED,"Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY",1400901,10890,-6.6,-11.1,19.1,-23.3,82.9,85.9,66,34,67,33,60.6,39.4,54.7,45.3,https://abworldfoods.com/,Andy Mayhew (Managing Director),250 to 499,AB WORLD FOODS LIMITED,FALSE
ABACAREDIG HOLDINGS LIMITED,"101-103 Baker Street,
3rd Floor Caparo House,
London,
England,
W1U 6EF",8612949,88100,-1.8,-7.4,NA,NA,0,0,12,88,14,86,9,91,9,91,,Max Wurr (Director of Policy and Communications),500 to 999,ABACAREDIG HOLDINGS LIMITED,FALSE
ABBOTT MEAD VICKERS.BBDO LIMITED,"Bankside 3 90-100 Southwark Street,
London,
England,
SE1 0SW",1935786,73110,29.2,31.8,-120.7,-121.1,13.5,18.5,34.4,65.6,37.9,62.1,50.6,49.4,67,33,,Kelly Knight (HR Director),250 to 499,ABBOTT MEAD VICKERS.BBDO LIMITED,FALSE
